date,txn_id,type,category,subcategory,description,amount,payment_method,outlet,note
2025-10-01,T10001,income,Sales - Delivery,ShopeeFood,SS15 - FoodPanda,786.35,GrabPay,SS15,recurring
2025-10-01,T10002,income,Other Income,Workshop Ticket,SS15 - Gift Card,168.92,TnG eWallet,SS15,recurring
2025-10-01,T10003,income,Other Income,Gift Card,SS15 - Merchandise,163.66,Bank Transfer,SS15,reimbursed
2025-10-01,T10004,income,Other Income,Workshop Ticket,SS15 - Workshop Ticket,288.77,Cash,SS15,
2025-10-01,T10005,income,Other Income,Merchandise,SS15 - Merchandise,347.47,DuitNow,SS15,
2025-10-01,T10006,income,Sales - Takeaway,Coffee,SS15 - Coffee,529.38,DuitNow,SS15,
2025-10-01,T10007,income,Sales - Dine In,Set Lunch,SS15 - Cakes,947.15,Bank Transfer,SS15,dobule check
2025-10-01,T10008,income,Sales - Takeaway,Coffee,SS15 - Pastries,83.14,Bank Transfer,SS15,urgent
2025-10-01,T10009,income,Sales - Dine In,Coffee,SS15 - Cakes,907.93,DuitNow,SS15,pending receipt
2025-10-01,T10010,income,Sales - Dine In,Coffee,SS15 - Cakes,1230.54,Cash,SS15,pending receipt
2025-10-01,T10011,income,Sales - Takeaway,Bread Loaf,SS15 - Pastries,836.24,Credit Card,SS15,dobule check
2025-10-01,T10012,income,Sales - Takeaway,Pastries,SS15 - Pastries,110.2,Credit Card,SS15,
2025-10-01,T10013,income,Sales - Takeaway,Bread Loaf,SS15 - Pastries,108.47,Bank Transfer,SS15,pending receipt
2025-10-01,T10014,income,Sales - Dine In,Pastries,SS15 - Coffee,758.43,Bank Transfer,SS15,
2025-10-01,T10015,income,Other Income,Gift Card,SS15 - Workshop Ticket,395.15,GrabPay,SS15,
2025-10-01,T10016,income,Other Income,Merchandise,Bangsar - Merchandise,263.92,TnG eWallet,Bangsar,
2025-10-01,T10017,income,Sales - Takeaway,Coffee,Bangsar - Pastries,55.71,Bank Transfer,Bangsar,
2025-10-01,T10018,income,Sales - Dine In,Cakes,Bangsar - Set Lunch,1544.57,TnG eWallet,Bangsar,pending receipt
2025-10-01,T10019,income,Sales - Dine In,Cakes,Bangsar - Pastries,366.04,GrabPay,Bangsar,pending receipt
2025-10-01,T10020,income,Sales - Delivery,GrabFood,Bangsar - ShopeeFood,1452.22,GrabPay,Bangsar,pending receipt
2025-10-01,T10021,income,Sales - Dine In,Coffee,Bangsar - Set Lunch,1178.97,GrabPay,Bangsar,recurring
2025-10-01,T10022,income,Sales - Takeaway,Coffee,Bangsar - Coffee,528.02,Bank Transfer,Bangsar,dobule check
2025-10-01,T10023,income,Sales - Delivery,FoodPanda,Bangsar - FoodPanda,1489.94,DuitNow,Bangsar,pending receipt
2025-10-01,T10024,income,Sales - Catering,Corporate Order,Bangsar - Wedding,6265.79,GrabPay,Bangsar,
2025-10-01,T10025,income,Other Income,Gift Card,Bangsar - Gift Card,1186.69,DuitNow,Bangsar,
2025-10-01,T10026,income,Sales - Catering,Event,Bangsar - Wedding,3738.9,GrabPay,Bangsar,check w boss
2025-10-01,T10027,income,Sales - Takeaway,Coffee,Bangsar - Coffee,843.56,GrabPay,Bangsar,check w boss
2025-10-01,T10028,income,Sales - Dine In,Pastries,Cheras - Pastries,405.97,GrabPay,Cheras,check w boss
2025-10-01,T10029,income,Sales - Dine In,Cakes,Cheras - Coffee,498.54,Credit Card,Cheras,
2025-10-01,T10030,income,Other Income,Workshop Ticket,Cheras - Workshop Ticket,387.7,TnG eWallet,Cheras,recurring
2025-10-01,T10031,income,Sales - Dine In,Coffee,Cheras - Coffee,561.06,Cash,Cheras,
2025-10-01,T10032,income,Sales - Dine In,Set Lunch,Cheras - Cakes,467.9,Credit Card,Cheras,recurring
2025-10-01,T10033,income,Sales - Catering,Corporate Order,Cheras - Corporate Order,1433.74,TnG eWallet,Cheras,reimbursed
2025-10-01,T10034,income,Sales - Takeaway,Coffee,Cheras - Bread Loaf,636.36,TnG eWallet,Cheras,reimbursed
2025-10-01,T10035,income,Sales - Delivery,ShopeeFood,Cheras - ShopeeFood,415.71,DuitNow,Cheras,reimbursed
2025-10-01,T10036,income,Sales - Delivery,ShopeeFood,Cheras - GrabFood,582.12,DuitNow,Cheras,pending receipt
2025-10-01,T10037,income,Sales - Takeaway,Coffee,Cheras - Bread Loaf,727.9,Bank Transfer,Cheras,reimbursed
2025-10-01,T10038,income,Sales - Catering,Corporate Order,Cheras - Wedding,899.85,DuitNow,Cheras,reimbursed
2025-10-01,T10039,income,Sales - Dine In,Pastries,Cheras - Set Lunch,2128.07,Credit Card,Cheras,
2025-10-01,T10040,income,Sales - Takeaway,Pastries,Cheras - Coffee,485.51,TnG eWallet,Cheras,pending receipt
